,carid,gps_address,gps_lat,gps_long,speed,time,time_state,Month,Month_num,day,day_num
0,513,0,37.2788,126.9995,7,2018-04-03 15:40:18,previous,Apr,3,TUE,1
1,513,0,37.2788,126.9996,30,2018-04-03 15:40:20,current,Apr,3,TUE,1
2,513,0,37.29401,127.0104,5,2018-12-12 08:50:19,previous,Dec,11,WED,2
3,513,0,37.29397,127.0104,28,2018-12-12 08:50:21,current,Dec,11,WED,2
4,1308,0,36.99221,127.0783,3,2018-02-08 17:51:30,previous,Feb,1,THU,3
5,1308,0,36.99223,127.0783,25,2018-02-08 17:51:32,current,Feb,1,THU,3
6,1308,0,37.24837,127.0394,3,2018-05-11 21:19:52,previous,May,4,FRI,4
7,1308,0,37.2484,127.0394,25,2018-05-11 21:19:54,current,May,4,FRI,4
8,1360,0,37.28282,127.0383,0,2018-12-17 19:34:11,previous,Dec,11,MON,0
9,1360,0,37.28282,127.0384,23,2018-12-17 19:34:13,current,Dec,11,MON,0
10,1365,0,37.19703,126.8992,0,2018-02-07 10:37:32,previous,Feb,1,WED,2
11,1365,0,37.19752,126.8991,63,2018-02-07 10:37:35,current,Feb,1,WED,2
12,1365,0,37.27517,127.0167,1,2018-03-21 00:39:30,previous,Mar,2,WED,2
13,1365,0,37.27517,127.0167,28,2018-03-21 00:39:32,current,Mar,2,WED,2
14,1365,0,37.30132,126.9976,3,2018-05-03 13:53:30,previous,May,4,THU,3
15,1365,0,37.30137,126.9975,26,2018-05-03 13:53:32,current,May,4,THU,3
16,1366,0,36.99767,127.1538,23,2018-06-06 00:07:13,previous,Jun,5,WED,2
17,1366,0,36.99768,127.1539,45,2018-06-06 00:07:15,current,Jun,5,WED,2
18,1366,0,37.01204,127.2604,1,2018-06-10 18:15:38,previous,Jun,5,SUN,6
19,1366,0,37.01204,127.2604,23,2018-06-10 18:15:40,current,Jun,5,SUN,6
20,1366,0,37.20718,127.1075,0,2018-08-07 21:58:35,previous,Aug,7,TUE,1
21,1366,0,37.20723,127.1075,22,2018-08-07 21:58:37,current,Aug,7,TUE,1
22,1366,0,37.20718,127.1075,12,2018-08-07 21:58:38,previous,Aug,7,TUE,1
23,1366,0,37.20768,127.1074,32,2018-08-07 21:58:39,current,Aug,7,TUE,1
24,1366,0,37.20662,127.0723,0,2018-08-08 18:11:06,previous,Aug,7,WED,2
25,1366,0,37.20667,127.0724,14,2018-08-08 18:11:07,current,Aug,7,WED,2
26,1366,0,37.20932,127.0813,2,2018-08-10 11:38:37,previous,Aug,7,FRI,4
27,1366,0,37.20934,127.0814,15,2018-08-10 11:38:38,current,Aug,7,FRI,4
28,1366,0,37.15889,127.0826,17,2018-09-10 12:26:06,previous,Sep,8,MON,0
29,1366,0,37.15889,127.0828,34,2018-09-10 12:26:07,current,Sep,8,MON,0
30,1366,0,37.15889,127.0827,26,2018-09-10 12:26:08,previous,Sep,8,MON,0
31,1366,0,37.15887,127.083,39,2018-09-10 12:26:09,current,Sep,8,MON,0
32,1366,0,36.37774,126.9433,48,2018-09-25 11:21:07,previous,Sep,8,TUE,1
33,1366,0,36.3775,126.944,59,2018-09-25 11:21:08,current,Sep,8,TUE,1
34,1367,0,37.34915,127.1017,0,2018-02-14 00:57:12,previous,Feb,1,WED,2
35,1367,0,37.34964,127.1017,64,2018-02-14 00:57:15,current,Feb,1,WED,2
36,1368,0,37.26001,127.0386,4,2018-03-17 11:27:03,previous,Mar,2,SAT,5
37,1368,0,37.26001,127.0386,26,2018-03-17 11:27:05,current,Mar,2,SAT,5
38,1368,0,37.31763,126.9883,3,2018-05-02 01:24:33,previous,May,4,WED,2
39,1368,0,37.31762,126.9883,25,2018-05-02 01:24:35,current,May,4,WED,2
40,1368,0,37.26337,127.05,2,2018-05-07 17:17:23,previous,May,4,MON,0
41,1368,0,37.26337,127.05,24,2018-05-07 17:17:25,current,May,4,MON,0
42,1368,0,37.25407,127.1064,2,2018-05-08 17:48:03,previous,May,4,TUE,1
43,1368,0,37.25407,127.1065,24,2018-05-08 17:48:05,current,May,4,TUE,1
44,1368,0,37.29069,126.9744,5,2018-12-06 16:03:57,previous,Dec,11,THU,3
45,1368,0,37.29069,126.9743,27,2018-12-06 16:03:59,current,Dec,11,THU,3
46,1384,0,37.2671,126.9451,0,2018-01-11 19:42:24,previous,Jan,0,THU,3
47,1384,0,37.26721,126.9445,59,2018-01-11 19:42:27,current,Jan,0,THU,3
48,1384,0,37.26552,127.0511,11,2018-03-01 13:55:46,previous,Mar,2,THU,3
49,1384,0,37.26552,127.0511,34,2018-03-01 13:55:48,current,Mar,2,THU,3
50,1384,0,37.24768,127.0761,2,2018-03-08 10:38:50,previous,Mar,2,THU,3
51,1384,0,37.24768,127.076,38,2018-03-08 10:38:53,current,Mar,2,THU,3
52,1384,0,37.30125,126.9835,0,2018-03-22 18:11:43,previous,Mar,2,THU,3
53,1384,0,37.30129,126.9837,28,2018-03-22 18:11:45,current,Mar,2,THU,3
54,1384,0,37.27644,126.9796,12,2018-05-08 10:27:41,previous,May,4,TUE,1
55,1384,0,37.27647,126.9795,35,2018-05-08 10:27:43,current,May,4,TUE,1
56,1384,0,37.59278,126.7678,26,2018-05-19 05:40:32,previous,May,4,SAT,5
57,1384,0,37.59289,126.768,49,2018-05-19 05:40:34,current,May,4,SAT,5
58,1384,0,37.28562,127.008,13,2018-05-20 05:15:05,previous,May,4,SUN,6
59,1384,0,37.28562,127.008,35,2018-05-20 05:15:07,current,May,4,SUN,6
60,1384,0,37.29576,127.0682,22,2018-05-25 03:31:05,previous,May,4,FRI,4
61,1384,0,37.29574,127.0684,46,2018-05-25 03:31:07,current,May,4,FRI,4
62,1384,0,37.26686,127.0343,20,2018-05-25 05:27:07,previous,May,4,FRI,4
63,1384,0,37.26687,127.0342,42,2018-05-25 05:27:09,current,May,4,FRI,4
64,1384,0,37.26358,127.0252,0,2018-05-25 08:26:54,previous,May,4,FRI,4
65,1384,0,37.26358,127.0252,27,2018-05-25 08:26:56,current,May,4,FRI,4
66,1384,0,37.26231,127.0289,8,2018-05-25 08:27:22,previous,May,4,FRI,4
67,1384,0,37.26231,127.0289,33,2018-05-25 08:27:24,current,May,4,FRI,4
68,1384,0,37.26168,127.0315,16,2018-05-25 08:28:01,previous,May,4,FRI,4
69,1384,0,37.26167,127.0316,40,2018-05-25 08:28:03,current,May,4,FRI,4
70,1384,0,37.26957,127.0232,1,2018-05-29 14:22:52,previous,May,4,TUE,1
71,1384,0,37.26957,127.0232,23,2018-05-29 14:22:54,current,May,4,TUE,1
72,1384,0,37.26907,127.0638,19,2018-05-30 15:20:22,previous,May,4,WED,2
73,1384,0,37.26905,127.0639,44,2018-05-30 15:20:24,current,May,4,WED,2
74,1384,0,37.27465,127.0295,6,2018-05-31 08:20:14,previous,May,4,THU,3
75,1384,0,37.27456,127.0295,28,2018-05-31 08:20:16,current,May,4,THU,3
76,1384,0,37.25897,127.043,13,2018-06-01 19:23:06,previous,Jun,5,FRI,4
77,1384,0,37.25899,127.0429,39,2018-06-01 19:23:08,current,Jun,5,FRI,4
78,1384,0,37.26,127.0385,0,2018-06-01 19:24:01,previous,Jun,5,FRI,4
79,1384,0,37.25993,127.0385,24,2018-06-01 19:24:03,current,Jun,5,FRI,4
80,1384,0,37.30533,127.0491,0,2018-06-26 09:02:11,previous,Jun,5,TUE,1
81,1384,0,37.30528,127.0491,23,2018-06-26 09:02:13,current,Jun,5,TUE,1
82,1384,0,37.26691,127.1055,28,2018-06-26 15:57:16,previous,Jun,5,TUE,1
83,1384,0,37.26708,127.1054,50,2018-06-26 15:57:18,current,Jun,5,TUE,1
84,1384,0,37.26352,127.0253,12,2018-07-06 08:23:56,previous,Jul,6,FRI,4
85,1384,0,37.26347,127.0253,34,2018-07-06 08:23:58,current,Jul,6,FRI,4
86,1384,0,37.26232,127.0289,7,2018-07-06 08:24:28,previous,Jul,6,FRI,4
87,1384,0,37.2623,127.029,30,2018-07-06 08:24:30,current,Jul,6,FRI,4
88,1384,0,37.30177,126.9944,10,2018-07-25 18:19:00,previous,Jul,6,WED,2
89,1384,0,37.30178,126.9944,33,2018-07-25 18:19:02,current,Jul,6,WED,2
90,1384,0,37.27246,127.0165,1,2018-08-07 23:37:59,previous,Aug,7,TUE,1
91,1384,0,37.27252,127.0165,35,2018-08-07 23:38:02,current,Aug,7,TUE,1
92,1384,0,37.26936,127.0086,6,2018-08-08 02:03:30,previous,Aug,7,WED,2
93,1384,0,37.26936,127.0086,28,2018-08-08 02:03:32,current,Aug,7,WED,2
94,1384,0,37.26748,127.0312,10,2018-08-08 02:13:45,previous,Aug,7,WED,2
95,1384,0,37.26751,127.0311,32,2018-08-08 02:13:47,current,Aug,7,WED,2
96,1384,0,37.26053,127.0642,7,2018-08-15 09:18:58,previous,Aug,7,WED,2
97,1384,0,37.26051,127.0642,30,2018-08-15 09:19:00,current,Aug,7,WED,2
98,1384,0,37.2365,126.9576,9,2018-08-24 18:55:42,previous,Aug,7,FRI,4
99,1384,0,37.23651,126.9576,32,2018-08-24 18:55:44,current,Aug,7,FRI,4
100,1384,0,37.39759,126.7957,3,2018-08-25 18:53:54,previous,Aug,7,SAT,5
101,1384,0,37.39758,126.7957,26,2018-08-25 18:53:56,current,Aug,7,SAT,5
102,1384,0,37.24366,127.0308,2,2018-09-08 20:33:38,previous,Sep,8,SAT,5
103,1384,0,37.24366,127.0308,13,2018-09-08 20:33:39,current,Sep,8,SAT,5
104,1384,0,37.29247,127.0189,14,2018-09-23 08:19:29,previous,Sep,8,SUN,6
105,1384,0,37.29239,127.019,39,2018-09-23 08:19:31,current,Sep,8,SUN,6
106,1384,0,37.26231,127.029,3,2018-09-23 08:24:26,previous,Sep,8,SUN,6
107,1384,0,37.26229,127.0291,29,2018-09-23 08:24:28,current,Sep,8,SUN,6
108,1384,0,37.26171,127.0315,8,2018-09-23 08:25:07,previous,Sep,8,SUN,6
109,1384,0,37.26172,127.0315,32,2018-09-23 08:25:09,current,Sep,8,SUN,6
110,1384,0,37.27739,127.0486,0,2018-09-29 16:41:41,previous,Sep,8,SAT,5
111,1384,0,37.2774,127.0486,23,2018-09-29 16:41:43,current,Sep,8,SAT,5
112,1384,0,37.17086,126.9259,0,2018-11-22 10:54:04,previous,Nov,10,THU,3
113,1384,0,37.17086,126.9259,23,2018-11-22 10:54:06,current,Nov,10,THU,3
114,1384,0,37.25869,127.0454,9,2018-12-04 11:14:20,previous,Dec,11,TUE,1
115,1384,0,37.25876,127.0453,33,2018-12-04 11:14:22,current,Dec,11,TUE,1
116,1384,0,37.30016,126.9786,0,2018-12-04 15:22:23,previous,Dec,11,TUE,1
117,1384,0,37.30016,126.9786,28,2018-12-04 15:22:25,current,Dec,11,TUE,1
