월,일,시간(1h),시간(2h),시간(3h),시간(4h),시간(5h),시간(6h),시간(7h),시간(8h),시간(9h),시간(10h),시간(11h),시간(12h),시간(13h),시간(14h),시간(15h),시간(16h),시간(17h),시간(18h),시간(19h),시간(20h),시간(21h),시간(22h),시간(23h),시간(24h)
1,1,0,0,0,0,0,0,0,0,5.28,139.2,731.52,589.68,786.72,326.76,588.12,225.6,69.48,2.88,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0.24,57.36,224.88,413.4,758.52,1081.32,727.56,323.28,230.52,69.84,10.2,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0.24,57,319.8,703.8,1009.68,1203.84,1183.32,699.6,346.08,103.2,12.72,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0.24,57.36,275.88,573.84,855.36,941.88,891.36,595.2,402.72,94.08,9.24,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,50.28,152.88,359.88,634.56,643.68,488.64,316.92,299.52,64.92,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,46.44,369.6,796.56,1197.72,1388.04,1374.48,918.84,587.64,59.76,9.6,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,1.8,53.76,252.36,567.12,457.44,513.72,1276.68,741.12,229.8,63.72,5.64,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,64.2,254.64,510.84,831.72,964.2,905.64,674.04,363.6,117.96,7.68,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,42.12,254.04,544.68,565.08,654.96,950.52,776.52,392.76,123.24,12.96,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0.24,70.92,311.4,681.72,1125.24,1285.8,1089,574.92,468.12,107.64,12.12,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0,38.88,190.68,436.8,999.36,1217.52,1279.8,1007.4,532.32,125.52,17.28,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0.48,61.44,404.76,860.16,1212.36,1271.16,1284.12,1059.96,511.2,142.44,15.12,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,50.64,300.72,485.4,997.8,1033.44,525.96,337.44,218.76,91.56,6.72,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0,6.12,28.68,56.52,90.6,72.72,65.04,64.68,36.96,13.44,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0.12,56.52,322.92,344.52,841.08,1069.32,1144.44,974.88,442.32,167.52,20.28,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,7.56,29.64,41.76,49.8,132.84,49.08,88.92,88.68,33.12,1.2,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0.48,52.44,445.56,924.36,1323.6,1331.28,1235.52,1149.84,637.8,206.04,17.04,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,0.84,26.28,362.64,888.24,1266.72,1301.04,809.28,166.2,69,30.6,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0.12,60.36,192.6,489.96,1203.96,1185.6,727.2,346.2,304.08,94.08,17.88,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0.84,71.16,284.4,705.84,896.16,1273.08,1211.88,829.56,272.28,150.84,19.56,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0,18.24,15,43.8,88.8,141.48,172.68,127.56,42.12,18.72,0.72,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,0,29.04,76.68,353.28,998.76,954.12,830.4,985.08,515.4,116.64,17.16,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0.96,75.24,412.2,874.08,985.32,1177.44,1223.88,1167.36,737.88,273.48,20.88,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,1.44,81.36,189.6,396.72,869.28,1177.2,1153.56,1042.32,630.36,249,28.92,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,0.96,22.32,104.04,226.08,160.68,235.44,247.2,142.44,54.6,19.08,0.12,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0,2.4,25.8,23.64,56.4,49.2,45.24,25.2,21.36,17.16,0.12,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,85.2,469.08,934.56,1108.68,987.36,508.92,256.32,170.88,123.72,22.92,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0.12,39.36,148.44,342.96,942.12,1358.4,1347.48,1232.04,923.04,325.92,33,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0,0,16.68,33.48,64.68,48.84,22.32,29.76,23.16,32.88,19.44,2.28,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,70.08,465.12,852,427.2,558.84,798,495.72,387.24,140.4,34.8,0,0,0,0,0,0
1,31,0,0,0,0,0,0,0,0,26.16,486.72,1034.52,1320.12,1411.56,1404.72,1281.72,1041.72,428.16,41.28,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,3.36,111.12,651,1137.12,1295.64,1328.88,1335.72,1241.88,1016.64,399.72,31.08,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,46.08,153.72,802.32,1237.68,1327.92,1278.24,1174.2,962.88,406.08,39.96,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,4.2,135.24,568.56,995.52,928.92,965.76,1060.2,1078.56,384.24,189.36,32.52,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,6.36,64.32,248.28,252.12,324,456.72,598.92,214.92,80.88,26.4,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0.36,50.04,444.12,377.52,727.08,536.4,763.56,496.56,387.24,78.12,32.88,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0,1.2,50.04,213.6,406.2,738.84,396.72,319.8,383.28,294.36,142.08,63.6,0.12,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0,12.72,76.56,298.56,763.92,800.4,265.2,293.16,267.24,142.44,39.36,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0.24,63.24,292.8,914.4,873.6,912,782.52,795.6,463.92,455.88,39.6,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,3.24,152.4,783.48,1152.48,1292.28,1445.88,1419.12,1276.8,1061.64,422.76,97.32,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,3.6,85.2,301.68,704.04,975.84,1124.64,964.32,1040.16,628.92,255.36,51.72,0,0,0,0,0,0
2,11,0,0,0,0,0,0,0,7.68,104.76,436.92,721.56,742.8,439.56,829.8,887.64,650.4,316.44,56.04,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0,6.96,202.92,718.56,1076.28,1279.8,1301.04,891.72,715.32,702,375.6,44.28,0.12,0,0,0,0,0
2,13,0,0,0,0,0,0,0,8.04,235.92,470.52,707.4,1127.52,1213.68,1257.84,1093.44,875.16,600.36,118.08,1.44,0,0,0,0,0
2,14,0,0,0,0,0,0,0,9.12,203.64,583.32,882.72,1074,1164.72,1163.4,1023.24,740.52,392.16,70.8,0.12,0,0,0,0,0
2,15,0,0,0,0,0,0,0,0,34.44,82.32,142.56,131.4,93,54.24,51.24,37.56,16.32,5.16,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0,0.12,15.36,85.92,92.28,42.6,46.56,49.8,28.2,5.88,5.28,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0,2.4,70.68,348.72,644.16,804.72,790.2,542.04,561.84,524.16,557.76,114.84,2.04,0,0,0,0,0
2,18,0,0,0,0,0,0,0,0,5.04,48.96,114.36,107.4,166.32,88.2,102.84,100.44,39.96,9.24,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0,4.8,138.48,582.48,1014,1223.52,1272.24,1252.2,1170.72,937.32,599.4,168.12,4.32,0,0,0,0,0
2,20,0,0,0,0,0,0,0,16.56,278.04,682.56,966.48,1100.04,714.6,902.64,650.76,234.6,210.24,74.52,1.92,0,0,0,0,0
2,21,0,0,0,0,0,0,0,0.24,27.24,48,57.12,87.36,82.92,59.4,39.36,106.56,138.72,29.28,0,0,0,0,0,0
2,22,0,0,0,0,0,0,0,0,6.6,51.6,80.52,276,752.04,1154.28,840.72,548.4,236.64,106.56,0.84,0,0,0,0,0
2,23,0,0,0,0,0,0,0,7.92,71.28,195.36,792,1063.8,1296.12,1309.08,1182.36,906.12,428.64,90.36,3.6,0,0,0,0,0
2,24,0,0,0,0,0,0,0,14.16,171.84,679.32,1002.48,1212.84,1312.44,1304.04,1172.4,945.12,632.52,220.08,5.88,0,0,0,0,0
2,25,0,0,0,0,0,0,0,21.6,117.72,194.64,260.88,266.52,473.4,510.36,287.28,227.28,118.68,47.16,1.56,0,0,0,0,0
2,26,0,0,0,0,0,0,0,3.84,28.56,94.08,194.76,688.8,960.6,1178.64,1172.16,1002.72,624.84,230.28,7.8,0,0,0,0,0
2,27,0,0,0,0,0,0,0,33.96,318.36,599.4,954.6,868.08,769.2,1022.52,794.88,616.56,294.36,50.88,2.04,0,0,0,0,0
2,28,0,0,0,0,0,0,0,12,118.32,169.8,139.92,267.24,354.12,239.64,130.8,119.28,84.72,33.36,0.24,0,0,0,0,0
3,1,0,0,0,0,0,0,0,6.96,80.52,69.36,496.68,605.28,762.96,776.04,527.76,624.48,405.24,170.64,7.56,0,0,0,0,0
3,2,0,0,0,0,0,0,0,65.88,425.28,823.08,1091.28,1252.44,1323.36,1319.52,1212.12,1005.72,689.16,216.48,8.76,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,12,53.88,81,112.08,468.48,660.24,948.24,900,439.92,111.48,0.48,0,0,0,0,0
3,4,0,0,0,0,0,0,0,42,393.12,528.24,803.64,1176.12,1203.96,1160.88,927.12,724.56,285.96,111.36,5.16,0,0,0,0,0
3,5,0,0,0,0,0,0,0,78,451.08,863.76,1146.12,1317.84,1143.72,893.76,888.24,419.64,178.32,94.08,7.68,0,0,0,0,0
3,6,0,0,0,0,0,0,0,47.88,263.88,442.56,764.64,790.32,753.12,1012.44,713.16,903.12,582.36,221.16,13.2,0,0,0,0,0
3,7,0,0,0,0,0,0,0,61.8,357.96,734.28,804.6,1218.12,1275.72,1296.72,1240.08,1050.48,716.64,309.96,20.76,0,0,0,0,0
3,8,0,0,0,0,0,0,0,76.68,400.8,784.68,1028.52,1165.44,1206.36,1220.76,1035.36,846.6,386.04,160.44,9.6,0,0,0,0,0
