월,일,시간(1h),시간(2h),시간(3h),시간(4h),시간(5h),시간(6h),시간(7h),시간(8h),시간(9h),시간(10h),시간(11h),시간(12h),시간(13h),시간(14h),시간(15h),시간(16h),시간(17h),시간(18h),시간(19h),시간(20h),시간(21h),시간(22h),시간(23h),시간(24h)
1,1,0,0,0,0,0,0,0,0.48,70.2,318.72,647.4,966.36,1138.56,1070.76,635.4,399.36,90.24,8.28,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0.12,36.48,212.88,402,424.92,856.2,1050.96,569.88,515.16,66.48,8.64,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0.96,71.88,131.76,448.8,592.44,795.6,647.64,462,191.28,94.32,5.76,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0.24,48.48,328.32,747.6,1163.76,1333.68,1321.2,829.08,523.8,55.32,8.88,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0.48,35.52,333,704.04,1097.28,1228.44,1220.04,779.04,502.08,82.32,10.44,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0.48,58.56,316.68,673.8,1060.8,1210.44,1164.84,737.88,421.56,101.64,14.04,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0.84,67.68,254.28,546.72,746.28,858,614.64,427.08,217.56,62.52,6.12,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,3.84,28.32,85.08,99,132.48,148.68,55.2,219.72,109.92,12.6,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0.24,61.8,324.12,665.88,904.92,893.88,1128.48,668.16,608.04,77.52,6.36,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,50.52,341.76,671.28,994.44,870.24,644.28,454.8,208.08,81.48,2.16,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0.84,73.44,252,286.56,771.72,891.12,891,265.32,302.28,89.4,12.84,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0,26.88,183.24,195.12,483.48,677.64,621.36,229.92,175.2,75.84,10.44,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0.48,58.92,385.44,874.2,1321.56,1367.04,1356.48,1113.12,496.2,136.08,16.8,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0.48,56.52,439.8,857.16,1239.24,1311.72,1243.56,1064.64,494.4,146.4,15.24,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0.96,69.36,391.08,774.96,1123.92,1128.6,995.88,1058.28,510.84,164.76,16.32,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,1.44,72.48,255,579.12,780.24,1019.16,1045.92,952.2,469.92,168.24,26.16,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0.36,69.24,293.64,562.68,837.6,946.32,871.68,679.32,345.96,65.88,3.48,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,0,15.84,140.52,570.24,528,199.68,219.84,256.56,355.08,82.44,9.84,0,0,0,0,0,0
